sequence_name,FSIG_a_mean,FSIG_a_var,FSIG_lt_mean,FSIG_lt_var,FSIG_lb_mean,FSIG_lb_var,FSIG_rt_mean,FSIG_rt_var,FSIG_rb_mean,FSIG_rb_var
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_125_250_854x480_HW_Q3_CRF10.bin,11.39915,14.66551,24.54373,50.32653,27.47602,114.4559,17.33071,52.24043,15.12371,36.97595
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_1375_1500_854x480_HW_Q3_CRF10.bin,11.39915,14.66551,24.54373,50.32653,27.47602,114.4559,17.33071,52.24043,15.12371,36.97595
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_1500_1625_854x480_HW_Q3_CRF10.bin,11.39915,14.66551,24.54373,50.32653,27.47602,114.4559,17.33071,52.24043,15.12371,36.97595
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_1625_1750_854x480_HW_Q3_CRF10.bin,11.39915,14.66551,24.54373,50.32653,27.47602,114.4559,17.33071,52.24043,15.12371,36.97595
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_1750_1875_854x480_HW_Q3_CRF10.bin,11.39915,14.66551,24.54373,50.32653,27.47602,114.4559,17.33071,52.24043,15.12371,36.97595
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_1875_2000_854x480_HW_Q3_CRF10.bin,11.39915,14.66551,24.54373,50.32653,27.47602,114.4559,17.33071,52.24043,15.12371,36.97595
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_2000_2125_854x480_HW_Q3_CRF10.bin,11.39915,14.66551,24.54373,50.32653,27.47602,114.4559,17.33071,52.24043,15.12371,36.97595
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_2125_2250_854x480_HW_Q3_CRF10.bin,11.39915,14.66551,24.54373,50.32653,27.47602,114.4559,17.33071,52.24043,15.12371,36.97595
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_2250_2375_854x480_HW_Q3_CRF10.bin,11.39915,14.66551,24.54373,50.32653,27.47602,114.4559,17.33071,52.24043,15.12371,36.97595
China_Anne_McClain_-_Night_Is_Young_(From_Descendants_Wicked_World)_001_2375_2500_854x480_HW_Q3_CRF10.bin,11.39915,14.66551,24.54373,50.32653,27.47602,114.4559,17.33071,52.24043,15.12371,36.97595
